STORE_NAME,CATEGORY_ID,PRODUCT_ID,PRODUCT_NAME,PRODUCT_PRICE
Falabella,cat30046,881869312,https://www.falabella.com.ar/falabella-ar/product/881869312/Puff-plegable-38x38x33.5-cm/881869312,Puff plegable 38x38x33.5 cm,1990.0
Falabella,cat30046,881869356,https://www.falabella.com.ar/falabella-ar/product/881869356/Puff-plegable-38x38x33.5-cm/881869356,Puff plegable 38x38x33.5 cm,1990.0
Falabella,cat30046,2894518,https://www.falabella.com.ar/falabella-ar/product/2894518/Sitial-lino-Vintage/2894518,Sitial lino  Vintage,32460.0
Falabella,cat30046,3101049,https://www.falabella.com.ar/falabella-ar/product/3101049/Futon-3-cuerpos-chenille-Oslo/3101050,Futón 3 cuerpos chenille Oslo,27690.0
Falabella,cat30046,881315912,https://www.falabella.com.ar/falabella-ar/product/881315912/Mesa-de-arrime-Carlock/881315912,Mesa de arrime Carlock,12890.0
Falabella,cat30046,prod6390011,https://www.falabella.com.ar/falabella-ar/product/prod6390011/Sillon-2-cuerpos-chenille-Chesterfield/2810890,Sillón 2 cuerpos chenille Chesterfield,126340.0
Falabella,cat30046,1805633,https://www.falabella.com.ar/falabella-ar/product/1805633/Mesa-para-LCD-MT4000-55-/1805633,"Mesa para LCD MT4000 55""",5550.0
Falabella,cat30046,3101392,https://www.falabella.com.ar/falabella-ar/product/3101392/Mesa-Lorenzo/3101394,Mesa Lorenzo,7990.0
Falabella,cat30046,prod5680032,https://www.falabella.com.ar/falabella-ar/product/prod5680032/Sillon-2-cuerpos-ecocuero-Salerno/1242941,Sillón 2 cuerpos ecocuero Salerno,28590.0
Falabella,cat30046,3101055,https://www.falabella.com.ar/falabella-ar/product/3101055/Sillon-Estambul-chenille-3-cuerpos/3101056,Sillón Estambul chenille 3 cuerpos,33090.0
Falabella,cat30046,2934280,https://www.falabella.com.ar/falabella-ar/product/2934280/Mesa-de-TV-MT4001P-55-/2934280,"Mesa de TV MT4001P 55""",7100.0
Falabella,cat30046,2474760,https://www.falabella.com.ar/falabella-ar/product/2474760/Mesa-de-centro-Doble-plano/2474760,Mesa de centro Doble plano,43290.0
Falabella,cat30052,881870517,https://www.falabella.com.ar/falabella-ar/product/881870517/Vajillero-Canning/881870517,Vajillero Canning,47690.0
Falabella,cat30052,3101939,https://www.falabella.com.ar/falabella-ar/product/3101939/Organizador-Frutero/3101939,Organizador Frutero,6190.0
Falabella,cat30052,prod6950021,https://www.falabella.com.ar/falabella-ar/product/prod6950021/Silla-francesa/2474765,Silla francesa,39690.0
Falabella,cat30052,prod6300055,https://www.falabella.com.ar/falabella-ar/product/prod6300055/Mesa-de-comedor-6-puestos-Roma/2631961,Mesa de comedor 6 puestos Roma,19990.0
Falabella,cat30052,2847055,https://www.falabella.com.ar/falabella-ar/product/2847055/Organizador-G14BL/2847055,Organizador G14BL,5920.0
Falabella,cat30052,2474718,https://www.falabella.com.ar/falabella-ar/product/2474718/Banqueta-regulable/2474718,Banqueta regulable,10810.0
Falabella,cat30052,3101941,https://www.falabella.com.ar/falabella-ar/product/3101941/Organizador-Mozart/3101941,Organizador Mozart,12430.0
Falabella,cat30052,prod6390018,https://www.falabella.com.ar/falabella-ar/product/prod6390018/Silla-de-comedor-Siena/2410256,Silla de comedor Siena,14890.0
Falabella,cat30052,2934282,https://www.falabella.com.ar/falabella-ar/product/2934282/Organizador-Vajillero-Paraiso/2934282,Organizador Vajillero Paraiso,15990.0
Falabella,cat30052,2410303,https://www.falabella.com.ar/falabella-ar/product/2410303/Mesa-de-comedor-6-puestos-Merida/2410303,Mesa de comedor 6 puestos Merida,60190.0
Falabella,cat30052,2410227,https://www.falabella.com.ar/falabella-ar/product/2410227/Silla-de-comedor-ecocuero-Verona/2410220,Silla de comedor ecocuero Verona,10490.0
Falabella,cat30052,3011318,https://www.falabella.com.ar/falabella-ar/product/3011318/Silla-de-comedor-ecocuero-Xanaes/3011320,Silla de comedor ecocuero Xanaes,6290.0
Falabella,cat2830001,prod6900024,https://www.falabella.com.ar/falabella-ar/product/prod6900024/Juego-de-jardin-Miami-5-piezas/3321414,Juego de jardín Miami 5 piezas,28899.0
Falabella,cat2830001,881870603,https://www.falabella.com.ar/falabella-ar/product/881870603/Reposera-Jaipur/881870603,Reposera Jaipur,13990.0
Falabella,cat2830001,881870680,https://www.falabella.com.ar/falabella-ar/product/881870680/Silla-de-terraza-Casa-blanca/881870680,Silla de terraza Casa blanca,41580.0
Falabella,cat2830001,881336809,https://www.falabella.com.ar/falabella-ar/product/881336809/Silla-Kretes/881336809,Silla Kretes,40280.0
